epoch,Fidelity,KL_Divergence
1,0.31740692620511984,0.8476209955402921
2,0.3166197895061161,0.841879470239151
3,0.31567252938138013,0.8361589127679552
4,0.3146955075592611,0.8305552900216241
5,0.31395515691492915,0.8251183694098452
6,0.3125160539669911,0.8196363525924556
7,0.3115750369209077,0.8143123415812733
8,0.3107989197254499,0.8092222969375378
9,0.310219055749155,0.8042843701917829
10,0.3093589129406885,0.7994334310880856
11,0.3081133812219765,0.7950359254075389
12,0.3068780441775949,0.7907997712215946
13,0.3056365503213201,0.7866371895130071
14,0.30471306284568933,0.7825796813752297
15,0.30375249038955154,0.7786698583942159
16,0.3027026269725295,0.7749190218799465
17,0.3018025558643469,0.7711525768596592
18,0.3007824280930256,0.7675257125085824
19,0.29964788110821106,0.7639401163518921
20,0.29853004813462247,0.7604435188720076
21,0.2973736358072129,0.7573687468184485
22,0.2961456202164648,0.7543947688461226
23,0.29495823419212847,0.7514903035599031
24,0.2937638358221982,0.7487034099038112
25,0.2929163945617358,0.7461190406761133
26,0.292231773304895,0.7434573846804295
27,0.29128237594284134,0.7409917100739114
28,0.29052048752339893,0.738615126753599
29,0.2893119031272801,0.7362044587732005
30,0.28863422161515895,0.7340187870200098
31,0.28776250949038207,0.732032427874286
32,0.28691720264624765,0.7301109086278937
33,0.2858863675006031,0.7282710540209517
34,0.2852341559477047,0.7265512258904651
35,0.28462261036985836,0.7248753408150554
36,0.2836527069936924,0.7231333443098086
37,0.28287864315643124,0.7215622092117673
38,0.2819467173727563,0.7199513402659095
39,0.2812663680873111,0.7183890754169976
40,0.28038751435630704,0.7169019947760804
41,0.27942183166307866,0.7156099651784736
42,0.2790166823750841,0.7143557164118456
43,0.27792163834018846,0.7130487452033853
44,0.27707951786757806,0.711873425151213
45,0.2764144427199477,0.7108022818759099
46,0.2757757490568442,0.709696245428149
47,0.27503373762346567,0.7085655616767605
48,0.2742790383825335,0.7074443518491301
49,0.27351248761299063,0.7064064748315313
50,0.27239192502088705,0.7053173657597607
51,0.2713722888180989,0.7043498730429602
52,0.2705471597793771,0.7034769460530789
53,0.2698363390091462,0.702578056464147
54,0.2691649904781676,0.7017638584292049
55,0.2685125241350022,0.7009989585356193
56,0.26756329968781023,0.7000959278961596
57,0.26692345489263714,0.6992756680027021
58,0.26605517816893176,0.6984696161569246
59,0.26519498683575804,0.6976925255375003
60,0.26443425587276764,0.6969117851321186
61,0.26368596112863063,0.6961898796727346
62,0.2628077526741549,0.6954832759189631
63,0.26218041082499777,0.6948223776873713
64,0.2613218669388669,0.6941541616692727
65,0.26070637838991,0.6935400306516806
66,0.25990976268479843,0.6929107489847112
67,0.25938016579910994,0.6923088115857884
68,0.258792538296772,0.6917139521561569
69,0.258182145408829,0.6911594607350899
70,0.2573466549949017,0.69050214278442
71,0.25655124088454967,0.6899450944199003
72,0.2559740005783254,0.6894298846980106
73,0.25526934004211893,0.6889058604868628
74,0.25445002453854265,0.6883572791098983
75,0.2539152048049156,0.6878910869778322
76,0.2532901713047884,0.6874201753915324
77,0.25249055726098646,0.686865209526298
78,0.25191886892381476,0.6863470368324075
79,0.25130610681127236,0.6858760683763125
80,0.25047037755760865,0.6853842126828797
81,0.24991676730448015,0.6849294927149047
82,0.24928981887150894,0.6844850981479529
83,0.2486575736094581,0.6840469374203635
84,0.24809187510352904,0.6836375982930712
85,0.2473950420833795,0.6832464679944578
86,0.24680806198640956,0.6828004872248433
87,0.24627148245846145,0.6823812730408404
88,0.24559915923786577,0.6819492745915717
89,0.24492761383195463,0.6815169719045425
90,0.24436342836888023,0.6811078135507764
91,0.24382974406836075,0.6807603220335194
92,0.24329882372795486,0.6803557895492902
93,0.24272613507921595,0.6800127216177633
94,0.2422352663356506,0.6796684218810665
95,0.2415583922490745,0.6793116736621033
96,0.2411164347717263,0.6790168982247528
97,0.24063756877092082,0.6786878647881941
98,0.24015661511101885,0.678341822612439
99,0.2398801500368421,0.6780418217838313
100,0.23924642656428596,0.6777157044014364
101,0.23866292161369607,0.6774232606641252
102,0.23815073498408965,0.677102250885204
103,0.23781051530981695,0.6768241560396181
104,0.23745575920380835,0.6765099689500855
105,0.237064972573459,0.6762604400738265
106,0.23663069680693088,0.6759626454428445
107,0.23616885663494838,0.6756525791300922
108,0.23573694435800197,0.6754129865872597
109,0.23535281725107107,0.6751201977782759
110,0.23490674587155383,0.6748253651749334
111,0.2343708036669013,0.6745462035007344
112,0.2340480114108628,0.6743065335392204
113,0.23362675472108158,0.6740491094767358
114,0.23307035550055927,0.6737689703024832
115,0.23261972295453281,0.6735250769380668
116,0.23219495565446416,0.673260878823807
117,0.23168731058283645,0.672976973533261
118,0.23131651712886758,0.6727524108799806
119,0.23091789707767826,0.6725127845884908
120,0.23058155115074624,0.6722945708620278
121,0.23014463956829004,0.6720502688709922
122,0.22974996070191106,0.6718101237305801
123,0.2293676644118531,0.6715927981458287
124,0.228932802188552,0.6713836749773961
125,0.228613174177583,0.6711851262452
126,0.22825912017049435,0.6710150393766655
127,0.2280074781154648,0.6708312746897974
128,0.22768007465973897,0.6706464409221474
129,0.22730737465399806,0.6704466373952775
130,0.22688857190471073,0.6702464063376516
131,0.22662993985008462,0.6700696728442015
132,0.22638221365916608,0.6699144714916938
133,0.22612531151893384,0.6697531187594085
134,0.22587319392987906,0.6695982871438633
135,0.22553486383466084,0.6694111718361615
136,0.2252196293860833,0.6692331260314995
137,0.22487115248790351,0.6690633412622103
138,0.22450472690829437,0.6688902991012765
139,0.2241148928262306,0.6687379943419743
140,0.2237835646169916,0.668554238909587
