epoch,F_ideal_train,F_noisy_train,F_ideal_meve,KL_Divergence
1,0.3500393435419927,0.5450151743210074,0.48626631535142684,0.29701124944442836
2,0.4080108553852501,0.5950982474773103,0.5093345589452057,0.07545302878523907
3,0.430653164857927,0.5917733426272451,0.5115230707754541,0.06863525748999492
4,0.4442774055347273,0.5934775657955007,0.7101605963800898,0.05387494906938448
5,0.43966963746890914,0.5955475117582868,0.5382561734066584,0.05861230765436325
6,0.45316012626110197,0.5965387971682957,0.5183405747152418,0.06369230395916964
7,0.44429289156601487,0.5914434531893961,0.5159945366343661,0.08982934738454718
8,0.4455604339528015,0.5911272818297266,0.5164152214971499,0.10095715510125854
9,0.445509581680277,0.5955728574843357,0.5242430840074109,0.08773666266090474
10,0.449779140483078,0.6049921513627076,0.5634433153252414,0.05521625334264458
11,0.45359633346961054,0.5949728957504007,0.5263123137781293,0.09390322865076531
12,0.4587807188854043,0.6055326181727941,0.5617969475348256,0.05676868923926333
13,0.4559564765855346,0.6062993522791609,0.6440511545224255,0.05402848141350523
14,0.45311610803570296,0.6112239838159056,0.6768905643649126,0.05389721453382547
15,0.45878704613941523,0.6109058427332135,0.6394095231623496,0.05562226487695133
16,0.4676389315115038,0.6115338466192572,0.5521703545578076,0.08171351458517644
17,0.46054389403036305,0.6211260550213983,0.9510225487973324,0.049170965446572644
18,0.46020901326772656,0.621281402104694,0.6101997830290318,0.07600834191832113
19,0.46667939165219235,0.6312479726760188,0.9778409618745714,0.04828635730703041
20,0.47866920419544284,0.6365108492455217,0.7408193215074448,0.049855174856982355
21,0.484525791559849,0.6519470018822298,0.9782141189365596,0.04409657378051074
22,0.49841547308085854,0.6689689152727325,0.8337735008027383,0.05722269703848738
23,0.5318037300229721,0.6991429166625502,0.9161925629619994,0.040892337182191214
24,0.5819226003545017,0.7556387428326566,0.9928894802126764,0.03045454000634839
25,0.6233402584850822,0.7758980955006094,0.8757049799480504,0.09328907692535163
26,0.6986889543081279,0.8469569790848565,0.9567163506603037,0.02116286326685033
27,0.7663179597821037,0.8910364965776294,0.9462225349778207,0.01760826215225364
28,0.8429987403249621,0.9496642324234161,0.9878450946471905,0.008858805597298102
29,0.868270539074866,0.9611708997176697,0.9956840763117707,0.004742554419573109
30,0.8696130264336254,0.9622743435910858,0.9925169216749966,0.006692326363486981
31,0.8651659654434768,0.9611177488149059,0.9832404071151876,0.017259830991574736
32,0.8657813805243573,0.9517888940923577,0.9693124684182769,0.03612593361900327
33,0.8589822379583995,0.9520707340480477,0.9737919067257537,0.007718685490842151
34,0.8865793996869521,0.9730217558262507,0.9960291476016445,0.004935036910346422
35,0.8793065068873576,0.9643230087349377,0.9878209344973017,0.004791859440707351
36,0.8893938801841722,0.9731031102333797,0.9962279266307554,0.0032198064963374013
37,0.88738279014092,0.9700828375584487,0.9931983050705163,0.0033211294238678813
38,0.8860629386133168,0.9746339892127988,0.9969289437445756,0.003715250989298169
39,0.8901799953452071,0.9695996374367596,0.9907588225197629,0.010879567870800248
40,0.8940556183610749,0.9721481836445425,0.9969443376839278,0.007646384778042356
41,0.8844470133859569,0.9734239009246114,0.994713202338363,0.0027182760820549223
42,0.8914324832325347,0.9771134102432024,0.9987954335281113,0.0020819941045498603
43,0.8953686784597621,0.9757763607025697,0.9970734287995281,0.0037661011091936944
44,0.8899609412980026,0.9735345547726323,0.9932084568963129,0.004910054399876332
45,0.8848676505669453,0.9666419960883625,0.9899166010323489,0.018732429715718032
46,0.8807172196302341,0.9564425583216821,0.9796152029474031,0.026996199235354488
47,0.8837663781652956,0.9612442876819254,0.9847296411941872,0.026821318268448056
48,0.891559797643775,0.9756639109128016,0.9990391009860394,0.002292126765206164
49,0.8929446440505953,0.9748633250312743,0.9962940041447076,0.002282711799555412
50,0.8884644301935222,0.9728535455946504,0.9930865145551543,0.008038500721192792
51,0.8916167343796411,0.9733822292171117,0.9930517213579022,0.008438401848772743
52,0.8850036137949322,0.9627792548174748,0.9797705327216625,0.02571880181261956
53,0.9010151359132066,0.9780301953060399,0.9998078255941305,0.0014144285042993429
54,0.8843219921100963,0.9674786753861853,0.9901827294031744,0.01532236024634753
55,0.8979875817108178,0.9747684658390399,0.9964256063532052,0.004779778629157477
56,0.8937363310052917,0.9728972842994322,0.9928666958878902,0.008885675405307221
57,0.895276434212167,0.9732230224093996,0.9961731508095587,0.004021167255528837
58,0.8995202445696935,0.974237603468406,0.9961118963515001,0.00370855684718137
59,0.8921922323427312,0.9738235966764718,0.9967928252150121,0.003802871365574629
60,0.8867592886012844,0.970728299438847,0.9937196171863805,0.00260903183342497
61,0.8917177868063206,0.9756098915014051,0.9982464108590484,0.0026257809707985994
62,0.8999136533209972,0.9744764644441231,0.9974661360306598,0.0036470918563415505
63,0.9031473313134312,0.9745871528868385,0.9969201618208342,0.002467789492060421
64,0.8932980518728546,0.9703000105310209,0.9939159012637225,0.010717450322143312
65,0.8923054100432027,0.9706727772718076,0.9933531973860668,0.0026190594595209456
66,0.8980715098522847,0.9753208103532539,0.9982739719061494,0.003702259975470998
67,0.8933610684293444,0.9728148603254629,0.9953420457587405,0.002224461697553304
68,0.8979496726241094,0.9724073111584215,0.9957839099384157,0.006498659437879427
69,0.9016986447852026,0.9766976063644177,0.99938366861443,0.001378558771950427
70,0.8976345015452077,0.9755453041763945,0.9988759892897451,0.0018634953895372054
71,0.9044226065949045,0.9768229297484966,0.9995511741245677,0.0012921041534738643
72,0.8958779826819729,0.9709636734000067,0.9952381628822742,0.008999733334069846
73,0.8935153205062999,0.9682581559750932,0.990534204868336,0.002850611107776646
74,0.8905401038433666,0.9713897934843893,0.9942931377420033,0.0025674006288767316
75,0.8955988950904449,0.9751516087009748,0.9990435182628231,0.002368498770648686
76,0.8908825773466728,0.9686804759380352,0.9897445048506149,0.008469174906294643
77,0.8910468046391088,0.9729416469304443,0.9980405011314196,0.004789674171789772
78,0.901289469844704,0.971618627666889,0.9955742330886111,0.008449368264957634
79,0.900258218360309,0.9722216457790339,0.9956791672180448,0.0029400649073496573
80,0.8908260589995253,0.9735626979988068,0.99842043325958,0.0015630117641294349
81,0.9006771270977078,0.9755039725308895,0.9993252101324845,0.0022619102245056474
82,0.9005503991126801,0.9741419722367406,0.996411253880669,0.0040264456392139865
83,0.8983182765692331,0.9732831579207276,0.9956071720247438,0.005013188418720782
84,0.8980676889741216,0.9741150865902676,0.9969443494963651,0.0014208959948974192
