epoch,Fidelity,KL_Divergence
1,0.38101515269033454,0.8204535804851381
2,0.3807143225137513,0.8196389041262145
3,0.3804094989668465,0.8188114056798359
4,0.380107107512953,0.8179522588452555
5,0.3797920605225549,0.8171557668458957
6,0.3794827983838716,0.8163283517688108
7,0.3791658082564477,0.8155316613982313
8,0.3788575931895478,0.8146855303598692
9,0.37853676594089775,0.8139223957670673
10,0.37821154573113963,0.8131520000321304
11,0.37791656098685483,0.8124781777881602
12,0.37762660600125425,0.8117736826293839
13,0.37733828793410185,0.8110753514636744
14,0.3770428890570543,0.8104138892496382
15,0.37675370402906994,0.8097117521189033
16,0.3764675971986696,0.8089905357817139
17,0.37617568542239704,0.8083118343846307
18,0.37587834988917546,0.8076618781518722
19,0.375583273397447,0.8070149285924977
20,0.37529872363351613,0.8063057994073525
21,0.3750455536191138,0.8056541868945639
22,0.3747808586068371,0.8050627257249979
23,0.3745290800060702,0.8044270297072726
24,0.3742712484750977,0.8038048456806914
25,0.374021144126383,0.8031659092026451
26,0.37376933671287443,0.8025261057717602
27,0.3735032731773749,0.8019665540744614
28,0.3732522335904648,0.8013245715844461
29,0.3730016761181877,0.8007020350403009
30,0.37274618988874525,0.8000864930644884
31,0.3725102197222792,0.7995650725743794
32,0.3722764545893972,0.799036344158853
33,0.372040974544605,0.7985117026849977
34,0.371822294390519,0.7979206840054505
35,0.37160068772469407,0.7973432172894243
36,0.37136005909502684,0.7968530278582328
37,0.37111597084777675,0.7963771538537883
38,0.37089781587504655,0.7957930153571042
39,0.37065505114374336,0.795324322035897
40,0.37041210936396135,0.7948491009410168
41,0.3702003946971978,0.794395692848749
42,0.36999260292868813,0.7939219091700624
43,0.3697799779051089,0.7934788282434421
44,0.36957903777799556,0.7929862545165397
45,0.3693766554519206,0.7924911539028466
46,0.36917395707466777,0.7919980616548203
47,0.36897055050709365,0.7915208008156623
48,0.36876716720024955,0.7910422747928655
49,0.36855273686979717,0.7906041502404783
50,0.3683608904397342,0.790097116354276
51,0.3681852842910446,0.7896480893440487
52,0.3679984504794815,0.7892452533248253
53,0.36780796399367177,0.7888501225784585
54,0.36761759452445775,0.7884468425387215
55,0.3674254608801061,0.7880591976200069
56,0.36723094940237155,0.7876729287293748
57,0.3670384840722241,0.7872875598058924
58,0.366854185283416,0.7868752999759254
59,0.36667314969592246,0.7864413658531233
60,0.3664749380069765,0.7860744258559605
61,0.3662995053657243,0.7857318028945598
62,0.36613862904616,0.7853412126757946
63,0.36597334061872866,0.7849746998377278
64,0.3657986713215354,0.7846322464615962
65,0.36563253694918874,0.7842653906067122
66,0.3654491865850734,0.783957009652804
67,0.3652715021171195,0.7836162510592555
68,0.3651122291870435,0.7832136930584721
69,0.3649344337064888,0.7828803609355802
70,0.36477124973037306,0.7824905059953696
71,0.3646151696253844,0.7821773920817073
72,0.36446660719789403,0.7818435245740362
73,0.3643176069129115,0.7815097185204096
74,0.36416215442447347,0.7811969366778112
75,0.3640084488534558,0.7808753639857424
76,0.3638593777859637,0.7805356327392663
77,0.36371290132596434,0.7801828087627319
78,0.36356135038389414,0.7798601025867451
79,0.363399768618818,0.7795680961995307
80,0.36324226273731725,0.7792534741352678
81,0.3631092833669915,0.7789508842556783
82,0.3629592519192677,0.7786982110509839
83,0.3628129100241885,0.7784401780358303
84,0.3626816646086577,0.7781247336232343
85,0.36254430608340427,0.7778399859901648
86,0.3624138306672687,0.7775305624964053
87,0.3622755984315343,0.7772412445687745
88,0.3621296398816805,0.7769682306832838
89,0.3619898886813428,0.7766768854511299
90,0.3618389004397683,0.7764274491197816
91,0.36170639298631463,0.7761926739131474
92,0.3615785601067126,0.7759420348797708
93,0.3614514668282717,0.7756863381236079
94,0.3613213980625833,0.7754467934697843
95,0.36119701505231105,0.7751919303387331
96,0.3610726415571855,0.7749227112305169
97,0.36095880343478165,0.774633716565218
98,0.36083827922928724,0.7743585385971635
99,0.36071217035980757,0.7740992962461926
100,0.36059087732871675,0.7738278443312837
101,0.3604770833652405,0.7735982252124265
102,0.3603551008237879,0.7733890672262109
103,0.3602446713024837,0.7731454545428256
104,0.3601326316909315,0.7729070230636788
105,0.3600217515234075,0.7726687607052967
106,0.35990459375168704,0.7724439965448102
107,0.35979252096298925,0.7722073275177785
108,0.35967523103729243,0.7719740428019521
109,0.3595710764414981,0.7717002144846618
110,0.3594528916393553,0.7714861096102582
111,0.3593446193779389,0.7712929897241863
112,0.3592383319129664,0.7710879659772708
113,0.3591369990373354,0.7708785926980695
114,0.3590334886410506,0.7706711491883693
115,0.3589228811518452,0.7704807312307504
116,0.358814056330218,0.7702817484895409
117,0.35870589680695897,0.7700807618550031
118,0.358597578753188,0.7698769498307331
119,0.358484488665874,0.7696975229937051
120,0.35838304225240614,0.7694759759153638
121,0.35828350897548195,0.7692942365107844
122,0.35818487933670634,0.7691191429379575
123,0.3580938083335972,0.7689235359336444
124,0.35800198629124785,0.7687276457156882
125,0.35789932201248625,0.7685579575709149
126,0.3578066035359909,0.768368484888307
127,0.3577051983141337,0.76819733324372
128,0.3576061568159278,0.768020599860132
129,0.35751285853508635,0.7678312341678067
130,0.35741878423249507,0.7676322842989852
131,0.35733004572919064,0.7674709513896909
132,0.3572468975256893,0.7672840653792115
133,0.3571628086896628,0.7671147303841099
134,0.35706714464772493,0.7669728139921868
135,0.35697737863215956,0.7668143007039435
136,0.3568826310774868,0.7666683356883378
137,0.35678944285777214,0.7665183064634701
138,0.35670868455164295,0.7663316146523369
139,0.3566254739602852,0.7661541203195764
140,0.35653816338234445,0.765989258225058
